Filename,Category,Predicted,Actual,Matched,Distance
1114,Concurrency_prepared,"[1, 2, 3, 4, 5, 6, 7, 8, 19, 20, 21, 22, 23, 24, 25, 10, 11, 12, 26, 14, 15, 16, 17, 27, 19, 20, 21]","[24, 5, 6, 7, 8, 25, 11, 25, 12, 26, 15, 16, 26, 17, 27, 20, 21, 27]",False,0.6946107784431138
1114,Concurrency_prepared,"[21, 22, 33, 39, 40, (37, 24, 25, 8, 9, 10, 34, 27, 28, 12, 13, 14, 15, 35, 30, 17, 18, 19), 42, 43, 44]","[22, 3, 4, 5, 6, 24, 27, 30, 33, 34, 35, '(', 37, 25, 9, 25, 10, 39, 28, 13, 14, 28, 15, 40, 31, 18, 19, 31, 42, 43, 44, ')']",False,0.21052631578947367
1114,Concurrency_prepared,[],"[24, 29, 5, 6, 7, 8, 30, 5, 6, 7, 8, 32, 33, '(', 35, 25, 11, 25, 12, 26, 15, 16, 26, 17, 27, 20, 21, 27, 37, 25, 11, 25, 12, 26, 15, 16, 26, 17, 27, 20, 21, 27, 39, 40, ')']",False,0.0
1114,Concurrency_prepared,"[35, 26, 27, 10, 11, 12, 41, 37, 21, 42, 36, 29, 30, 14, 15, 16, 17, 44, 45, 46]","[24, 5, 6, 7, 8, 26, 29, 32, 35, 36, 37, '(', 39, 27, 11, 27, 12, 41, 33, 20, 42, 30, 15, 16, 30, 17, 44, 45, 46, 21, 33, ')']",False,0.6292682926829268
1114,Concurrency_prepared,"[33, 24, 25, 10, 11, 12, 26, 14, 15, 16, 17, 27, 19, 20, 21, (34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44)]","[24, 29, 5, 6, 7, 8, 30, 5, 6, 7, 8, 31, 5, 6, 7, 8, 33, 34, 35, '(', 37, 25, 11, 25, 12, 26, 15, 16, 26, 17, 27, 20, 21, 27, 39, 25, 11, 25, 12, 26, 15, 16, 26, 17, 27, 20, 21, 27, 40, 25, 11, 25, 12, 26, 15, 16, 26, 17, 27, 20, 21, 27, 42, 43, 44, ')']",False,0.12534818941504178
1115,Concurrency_prepared,"[27, 2, 3, 4, 5, 28, 29, 30, 32, (7, 8, 9, 10, 11, 13, 14, 15, 16, 17), 33, 34]","[26, 27, 3, 4, 5, 28, 29, '(', 30, 8, 9, 10, 20, 11, 8, 9, 32, 14, 15, 16, 23, 17, 14, 15, 33, 10, 20, 11, 8, 9, 16, 23, 17, 14, 15, 10, 20, 11, 8, 9, 16, 23, 17, 14, 15, 10, 20, 11, 8, 9, 16, 23, 17, 14, 15, 10, 20, 11, 8, 16, 23, 17, 14, 34, ')']",False,0.4386503067484663
1115,Concurrency_prepared,"[28, 29, 30, 5, 6, 7, 8, 31, 32, 33, 35, (10, 11, 12, 22, 23, 13, 14, 11, 12, 22, 23, 13, 14, 11, 12, 22, 23, 13, 14), (16, 17, 18, 25, 26, 19, 20, 17, 18, 25, 26, 19, 20, 17, 18, 25, 26, 19, 20), 36, 37]","[29, 30, 6, 7, 8, 31, 32, '(', 33, 11, 12, 13, 23, 14, 11, 12, 35, 17, 18, 19, 26, 20, 17, 18, 36, 13, 23, 14, 11, 12, 19, 26, 20, 17, 18, 13, 23, 14, 11, 19, 26, 20, 17, 37, ')']",False,0.42408376963350786
1115,Concurrency_prepared,"[1, 2, 4, 5, 6, 7, 8, 10, 16, 22, 25, 28, 29, 30, 31, 32, 33, 34, 35, 11, 12, 13, 14, 17, 18, 19, 20, 11, 12, 13, 14, ..., 17, 18, 19, 20, 36, 37]","[29, 30, 6, 7, 8, 31, 32, '(', 33, 11, 12, 13, 23, 14, 11, 12, 35, 17, 18, 19, 26, 20, 17, 18, 36, 13, 23, 14, 11, 12, 19, 26, 20, 17, 18, 13, 23, 14, 11, 12, 19, 26, 20, 17, 18, 13, 23, 14, 11, 12, 19, 26, 20, 17, 18, 13, 23, 14, 11, 12, 19, 26, 20, 17, 18, 13, 23, 14, 11, 12, 19, 26, 20, 17, 18, 13, 23, 14, 11, 37, 19, 26, 20, 17, ')']",False,0.05371900826446281
1115,Concurrency_prepared,"[28, 29, 30, 31, 33, 35, 10, 11, 12, 13, 22, 23, 14, 16, 17, 18, 19, 25, 26, 20, 13, 22, 23, 14, 11, 12, 13, 22, 23, 14, 17, 18, 19, 25, 26, 20, 36, 37]","[29, 30, 6, 7, 8, 31, 32, '(', 33, 11, 12, 13, 23, 14, 11, 12, 35, 17, 18, 19, 26, 20, 17, 18, 36, 13, 23, 14, 11, 19, 26, 20, 17, 37, ')']",False,0.2896551724137931
1115,Concurrency_prepared,"[28, 29, 30, 31, 33, 10, 11, 12, 13, 22, 23, 14, 32, 16, 17, 18, 19, 25, 26, 20, ...]","[29, 30, 6, 7, 8, 31, 32, '(', 33, 11, 12, 13, 23, 14, 11, 12, 35, 17, 18, 19, 26, 20, 17, 18, 36, 13, 23, 14, 11, 12, 19, 26, 20, 17, 18, 13, 23, 14, 11, 12, 19, 26, 20, 17, 18, 13, 23, 14, 11, 12, 19, 26, 20, 17, 18, 13, 23, 14, 11, 12, 19, 26, 20, 17, 18, 13, 23, 14, 11, 12, 19, 26, 20, 17, 18, 13, 23, 14, 11, 12, 19, 26, 20, 17, 18, 13, 23, 14, 11, 12, 19, 26, 20, 17, 18, 13, 23, 14, 11, 12, 19, 26, 20, 17, 18, 13, 23, 14, 11, 19, 26, 20, 17, 37, ')']",False,0.26335174953959484
1116,Concurrency_prepared,"[31, 32, 35, 36, 37, 39, 41, 42, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 10, 11, 12, 13, 16, 17, 18, 19, 22, 23, 24, 25, 10, 11, 12, 13, 16, 17, 18, 19, 22, 23, 24, 25, 44, 45, 46, 49]","[28, 31, 32, 3, 4, 5, 6, 35, 36, 37, '(', 39, 10, 11, 12, 29, 13, 10, 11, 41, 16, 17, 42, 22, 23, 24, 29, 25, 22, 23, 44, 12, 29, 13, 10, 11, 24, 29, 25, 22, 23, 12, 29, 13, 10, 11, 18, 29, 19, 16, 17, 12, 29, 13, 10, 11, 18, 29, 19, 16, 12, 29, 13, 10, 24, 29, 25, 22, 45, ')', 46, 49]",False,0.0860655737704918
