HumanEval_ID,Name,FunctionCall,Predicted,Actual,Matched,Distance
HumanEval/0,has_close_elements,"[1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.3","['d', 'n', 'o', 'p', 'q', 'r', 'o', 'p', 'q', 'r', 'o', 'p', 'q', 'r', 'o', 'p', 'q', 'r', 'o', 'p', 'q', 'r', 'o', 'p', 'q', 'r', 'n', 'o', 'p', 'q', 'r', 'o', 'p', 'q', 'r', 'o', 'p', 'q', 'r', 'o', 'p', 'q', 'r', 'o', 'p', 'q', 'r', 'o', 'p', 'q', 'r', 'n', 'o', 'p', 'q', 'r', 'o', 'p', 'q', 'r', 'o', 'p', 'q', 'r', 'o', 'p', 'q', 'r', 'o', 'p', 'q', 'r', 'o', 'p', 'q', 'r', 'n', 'o', 'p', 'q', 'r', 'o', 'p', 'q', 'r', 'o', 'p', 'q', 'r', 'o', 'p', 'q', 'r', 'o', 'p', 'q', 'r', 'o', 'p', 'q', 'r', 'n', 'o', 'p', 'q', 'r', 'o', 'p', 'q', 'r', 'o', 'p', 'q', 'r', 'o', 'p', 'q', 'r', 'o', 'p', 'q', 'r', 'o', 'p', 'q', 'r', 'n', 'o', 'p', 'q', 'r', 'o', 'p', 'q', 'r', 'o', 'p', 'q', 'r', 'o', 'p', 'q', 'r', 'o', 'p', 'q', 'r', 'o', 'p', 'q', 'r', 'u']",nopopqropqropqropqropqronopqropopqropqropqropqrs,False,0.006195786864931847
HumanEval/1,separate_paren_groups,"('( ) (( )) (( )( ))',)","['d', 'n', 'o', 'p', 'r', 's', 't', 'u', 'r', 'r', 'v', 'w', 'x', 'z', 'A', 'B', 'r', 's', 't', 'u', 'r', 's', 't', 'u', 'r', 'r', 'v', 'w', 'x', 'z', 'A', 'B', 'r', 's', 't', 'u', 'r', 's', 't', 'u', 'r', 'r', 'v', 'w', 'x', 'r', 'v', 'w', 'x', 'z', 'A', 'B', 'r', 'D']",noprstursvrsvwxzABrsvrsturstursvrsvwxzrsvwxzABrsvrsturstursvrsvwxzrstursvrsvwxzrsvwxzABrD,False,0.09776536312849161
HumanEval/10,make_palindrome,'x',"['i', 'v', 'y', 'A', 'f', 'A', 'D']",vyAfD,False,0.23076923076923078
HumanEval/100,make_a_pile,"(3,)","['b', 'r']",rrrrr,False,0.2857142857142857
HumanEval/101,words_string,"""One, two, three, four, five, six""","['b', 'm', 'p', 'r', 's', 'v', 'r', 's', 'v', 'r', 's', 'v', 'r', 's', 't', 'r', 's', 'v', 'r', 's', 'v', 'r', 's', 'v', 'r', 's', 't', 'r', 's', 'v', 'r', 's', 'v', 'r', 's', 'v', 'r', 's', 't', 'r', 's', 'v', 'r', 's', 'v', 'r', 's', 'v', 'r', 's', 'v', 'r', 's', 't', 'r', 's', 'v', 'r', 's', 'v', 'r', 's', 'v', 'r', 's', 'v', 'r', 's', 't', 'r', 's', 'v', 'r', 's', 'v', 'x', 'y']",mprsvrsvrsvrstrsvrsvrsvrsvrstrsvrsvrsvrsvrsvrsvrstrsvrsvrsvrsvrsvrstrsvrsvrsvrsvrsvrstrsvrsvrsvrsvrxy,False,0.04742268041237113
HumanEval/102,choose_num,"7, 7","['b', 'm', 'o', 'q', 'r']",moqr,False,0.25
HumanEval/103,rounded_avg,"1, 5","['b', 'o', 'q', 'r', 's', 'r', 's', 'r', 's', 'r', 's', 'r', 's', 'r', 't']",oqrsrsrsrsrsrt,False,0.3068181818181818
HumanEval/104,unique_digits,"[12345, 2033, 111, 151]","['b', 'p', 'q', 'r', 'q', 'r', 'q', 'r', 's', 'q', 'r', 's', 'q', 't']",pqrrrqrrqrrrrrsqrrrrrsqt,False,0.34408602150537637
HumanEval/105,by_length,"[2, 1, 1, 4, 5, 8, 2, 3]","['b', 'z', 'A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L', 'M', 'N', 'O', 'M', 'N', 'O', 'M', 'N', 'O', 'M', 'N', 'O', 'M', 'N', 'O', 'M', 'N', 'O', 'M', 'N', 'O', 'M', 'N', 'O', 'R']",ABCDEFGHIzKLMNOMNOMNOMNOMNOMNOMNOMNOMR,False,0.10775862068965517
HumanEval/106,f,5,"['b', 'm', 'n', 'o', 't', 'u', 'u', 'v', 'n', 'o', 'p', 'q', 'q', 'q', 'r', 'n', 'o', 't', 'u', 'u', 'u', 'v', 'n', 'o', 'p', 'q', 'q', 'q', 'q', 'r', 'n', 'o', 't', 'u', 'u', 'u', 'u', 'u', 'v', 'n', 'w']",mnotuuvnopqqqrnotuuuuvnopqqqqqrnotuuuuuuvnw,False,0.17813765182186234
HumanEval/107,even_odd_palindrome,3,"['b', 'D', 'E', 'G', 'H', 'B', 'I', 'G', 'H', 'J', 'B', 'K', 'G', 'H', 'B', 'I', 'G', 'L']",ADEGHBIGHJBKGHBIGL,False,0.3177570093457944
