HumanEval_ID,Name,FunctionCall,Predicted,Actual,Matched,Distance
HumanEval/0,has_close_elements,"[1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.3","[14,  15,  16,  17,  18,  15,  16,  17,  18,  15,  16,  17,  18,  15,  16,  17,  18,  15,  16,  17,  18,  15,  16,  17,  18,  14,  15,  16,  17,  18,  15,  16,  17,  18,  15,  16,  17,  18,  19]","[14, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 19]",False,0.07532467532467532
HumanEval/0,has_close_elements,"[1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.05","[14,  15,  16,  17,  18]","[14, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 14, 21]",False,0.07084019769357495
HumanEval/0,has_close_elements,"[1.0, 2.0, 5.9, 4.0, 5.0], 0.95","[14,  15,  16,  17,  18]","[14, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 19]",False,0.1634980988593156
HumanEval/0,has_close_elements,"[1.0, 2.0, 5.9, 4.0, 5.0], 0.8","[14,  15,  16,  15,  16,  17,  18,  15,  16,  17,  18,  15,  16,  17,  18,  15,  16,  17,  18,  15,  14,  15,  16,  17,  18,  15,  16,  17,  18,  15,  16,  17,  18,  15,  16,  17,  18,  14,  15,  16,  17,  18,  15,  16,  17,  18,  15,  16,  17,  18,  15,  16,  17,  18,  14,  15,  16,  17,  18,  15,  16,  17,  18,  15,  16,  17,  18,  15,  16,  17,  18,  14,  15,  16,  17,  18,  15,  16,  17,  18,  15,  16,  17,  18,  15,  16,  17,  18,  21]","[14, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 14, 21]",False,0.07285546415981199
HumanEval/0,has_close_elements,"[1.0, 2.0, 3.0, 4.0, 5.0, 2.0], 0.1","[14,  15,  16,  15,  16,  17,  18,  15,  16,  17,  18,  15,  16,  17,  18,  15,  16,  17,  18,  15,  16,  17,  18,  14,  15,  16,  17,  18,  15,  16,  17,  18,  15,  16,  17,  18,  15,  16,  17,  18,  15,  16,  17,  18,  14,  15,  16,  17,  18,  15,  16,  17,  18,  15,  16,  17,  18,  15,  16,  17,  18,  15,  16,  17,  18,  14,  15,  16,  17,  18,  15,  16,  17,  18,  15,  16,  17,  18,  15,  16,  17,  18,  15,  16,  17,  18,  14,  15,  16,  17,  18,  15,  16,  17,  18,  15,  16,  17,  18,  15,  16,  17,  18,  15,  16,  17,  18,  14,  15,  16,  17,  18,  15,  16,  17,  18,  15,  16,  17,  18,  15,  16,  17,  18,  15,  16,  17,  18,  21]","[14, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 19]",False,0.027544910179640718
HumanEval/0,has_close_elements,"[1.1, 2.2, 3.1, 4.1, 5.1], 1.0","[14,  15,  16,  17,  18]","[14, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 19]",False,0.2847682119205298
HumanEval/0,has_close_elements,"[1.1, 2.2, 3.1, 4.1, 5.1], 0.5","[14,  15,  16,  17,  18,  15,  16,  17,  18,  15,  16,  17,  18,  15,  16,  17,  18,  15,  16,  17,  18,  15,  16,  17,  18,  15,  16,  17,  18,  15,  16,  17,  18,  15,  16,  17,  18,  15,  16,  17,  18,  15,  16,  17,  18,  15,  16,  17,  18,  15,  21]","[14, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 14, 21]",False,0.02723146747352496
HumanEval/1,separate_paren_groups,"('( ) (( )) (( )( ))',)","[14,  15,  16,  18,  19,  20,  21,  18,  18,  22,  23,  24,  26,  27,  28,  18,  18,  19,  20,  21,  18,  19,  20,  21,  18,  22,  23,  24,  18,  22,  23,  24,  26,  27,  28,  18,  18,  19,  20,  21,  18,  19,  20,  21,  18,  22,  23,  24,  18,  19,  20,  21,  18,  22,  23,  24,  18,  22,  23,  24,  26,  27,  28,  18,  30]","[14, 15, 16, 18, 19, 20, 21, 18, 19, 22, 18, 19, 22, 23, 24, 26, 27, 28, 18, 19, 22, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 22, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 27, 28, 18, 19, 22, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 22, 18, 19, 22, 23, 24, 26, 18, 19, 20, 21, 18, 19, 22, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 27, 28, 18, 30]",False,0.2709867452135493
HumanEval/1,separate_paren_groups,"('(()(())((())))',)","[14,  15,  16,  18,  19,  20,  21,  18,  19,  20,  21,  18,  19,  22,  23,  24,  26,  18,  19,  20,  21,  18,  19,  22,  23,  24,  26,  18,  19,  20,  21,  18,  19,  22,  23,  24,  26,  18,  19,  20,  21,  18,  19,  22,  23,  24,  26,  18,  19,  20,  21,  18,  19,  22,  23,  24,  26,  18,  19,  22,  23,  24,  26,  27,  28,  18,  30]","[14, 15, 16, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 22, 23, 24, 26, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 27, 28, 18, 30]",False,0.2589703588143526
HumanEval/1,separate_paren_groups,"('() (()) ((())) (((())))',)","[14,  15,  16,  18,  19,  20,  21,  18,  22,  23,  24,  26,  27,  28,  18,  19,  20,  21,  18,  19,  20,  21,  18,  22,  23,  24,  18,  22,  23,  24,  26,  27,  28,  18,  19,  20,  21,  18,  19,  20,  21,  18,  19,  20,  21,  18,  22,  23,  24,  18,  22,  23,  24,  18,  22,  23,  24,  26,  27,  28,  18,  19,  20,  21,  18,  19,  20,  21,  18,  19,  20,  21,  18,  19,  20,  21,  18,  22,  23,  24,  18,  22,  23,  24,  18,  22,  23,  24,  18,  22,  23,  24,  26,  27,  28,  18,  30]","[14, 15, 16, 18, 19, 20, 21, 18, 19, 22, 23, 24, 26, 27, 28, 18, 19, 22, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 27, 28, 18, 19, 22, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 27, 28, 18, 19, 22, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 27, 28, 18, 30]",False,0.14418125643666324
