HumanEval_ID,Name,FunctionCall,Predicted,Actual,Matched,Distance
HumanEval/0,has_close_elements,"[1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.3","[1.0, 2.0, 3.9, 4.0, 5.0, 2.2]","[14, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 19]",False,0.167420814479638
HumanEval/0,has_close_elements,"[1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.05","[1.0, 2.0, 3.9, 4.0, 5.0, 2.2]","[14, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 14, 21]",False,0.022838499184339316
HumanEval/0,has_close_elements,"[1.0, 2.0, 5.9, 4.0, 5.0], 0.95","[1.0, 2.0, 5.9, 4.0, 5.0]","[14, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 19]",False,0.12121212121212122
HumanEval/0,has_close_elements,"[1.0, 2.0, 5.9, 4.0, 5.0], 0.8","[1.0, 2.0, 5.9, 4.0, 5.0]","[14, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 14, 21]",False,0.032407407407407406
HumanEval/0,has_close_elements,"[1.0, 2.0, 3.0, 4.0, 5.0, 2.0], 0.1","[14, 15, 16, 17, 18, 19]","[14, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 19]",False,0.2186046511627907
HumanEval/0,has_close_elements,"[1.1, 2.2, 3.1, 4.1, 5.1], 1.0","[14, 15, 16, 17, 18, 19]","[14, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 19]",False,0.31125827814569534
HumanEval/0,has_close_elements,"[1.1, 2.2, 3.1, 4.1, 5.1], 0.5","[14, 15, 16, 17, 18, 19, 20, 21]","[14, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 14, 21]",False,0.1366742596810934
HumanEval/1,separate_paren_groups,"('( ) (( )) (( )( ))',)","[14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28]","[14, 15, 16, 18, 19, 20, 21, 18, 19, 22, 18, 19, 22, 23, 24, 26, 27, 28, 18, 19, 22, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 22, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 27, 28, 18, 19, 22, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 22, 18, 19, 22, 23, 24, 26, 18, 19, 20, 21, 18, 19, 22, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 27, 28, 18, 30]",False,0.42125237191650855
HumanEval/1,separate_paren_groups,"('(()(())((())))',)","[14, 15, 16, 18, 19, 20, 21, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 18, 22, 23, 24, 26, 27, 28, 18, 22, 23, 24, 26, 27, 28, 18, 22, 23, 24, 26, 27, 28, 30]","[14, 15, 16, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 22, 23, 24, 26, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 27, 28, 18, 30]",False,0.20302375809935205
HumanEval/1,separate_paren_groups,"('() (()) ((())) (((())))',)",[],"[14, 15, 16, 18, 19, 20, 21, 18, 19, 22, 23, 24, 26, 27, 28, 18, 19, 22, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 27, 28, 18, 19, 22, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 27, 28, 18, 19, 22, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 27, 28, 18, 30]",False,0.006134969325153374
