Filename,Category,Predicted,Actual,Matched,Distance
0002-add-two-numbers,Recursion_prepared,"[30, 31, 3, 4, 5, 3, 4, 5, 3, 4, 5, 32, 3, 4, 5, 3, 4, 5, 3, 4, 5, 33, 9, 3, 4, 5, 10, 12, 13, 14, 15, 18, 19, 20, 21, 3, 4, 5, 24, 25, 26, 13, 14, 15, 18, 19, 20, 21, 3, 4, 5, 24, 25, 26, 13, 14, 15, 18, 19, 20, 21, 3, 4, 5, 24, 25, 26, 13, 14, 15, 18, 19, 20, 21, 3, 4, 5, 24, 25, 26, 28, 34, 35, 36, 34, 35, 36, 34, 35, 36, 34, 35, 36]","[31, 4, 5, 4, 5, 4, 5, 32, 4, 5, 4, 5, 4, 5, 33, 9, 4, 5, 10, 12, 13, 14, 15, 18, 19, 20, 21, 4, 5, 24, 25, 26, 13, 14, 15, 18, 19, 20, 21, 4, 5, 24, 25, 26, 13, 14, 15, 18, 19, 20, 21, 4, 5, 24, 25, 26, 13, 28, 34, 35, 36, 34, 35, 36, 34, 35, 36, 34]",False,0.5306122448979592
0002-add-two-numbers,Recursion_prepared,"[30, 31, 32, 33, 9, 10, 12, 13, 14, 15, 18, 19, 20, 21, 24, 25, 26, 13, 28, 34, 35, 36, 34]","[31, 4, 5, 32, 4, 5, 33, 9, 4, 5, 10, 12, 13, 14, 15, 18, 19, 20, 21, 4, 5, 24, 25, 26, 13, 28, 34, 35, 36, 34]",False,0.8606965174129353
0002-add-two-numbers,Recursion_prepared,"[30, 31, 32, 33, 9, 10, 12, 13, 14, 15, 18, 19, 20, 21, 24, 25, 26, 13, 14, 15, 18, 19, 20, 21, 24, 25, 26, 13, 14, 15, 18, 19, 20, 21, 24, 25, 26, 13, 14, 15, 18, 19, 20, 21, 24, 25, 26, 13, 14, 15, 18, 19, 20, 21, 24, 25, 26, 28, 34, 35, 36, 34, 35, 36, 34, 35, 36, 34, 35, 36]","[31, 4, 5, 4, 5, 4, 5, 32, 4, 5, 33, 9, 4, 5, 10, 12, 13, 14, 15, 18, 19, 20, 21, 4, 5, 24, 25, 26, 13, 14, 15, 18, 19, 20, 21, 4, 5, 24, 25, 26, 13, 14, 15, 18, 19, 20, 21, 4, 5, 24, 25, 26, 13, 14, 15, 18, 19, 20, 21, 4, 5, 24, 25, 26, 13, 28, 34, 35, 36, 34, 35, 36, 34, 35, 36, 34, 35, 36, 34]",False,0.5982608695652174
0002-add-two-numbers,Recursion_prepared,"[29, 30, 3, 4, 5, 3, 4, 5, 31, 3, 4, 5, 32, 8, 3, 4, 5, 9, 11, 12, 13, 14, 17, 18, 19, 20, 3, 4, 5, 23, 24, 25, 12, 13, 14, 17, 18, 19, 20, 3, 4, 5, 23, 24, 25, 12, 13, 14, 17, 18, 19, 20, 3, 4, 5, 23, 24, 25, 12, 27, 33, 34, 35, 33, 34, 35, 33, 34, 35]","[30, 4, 5, 4, 5, 31, 4, 5, 32, 8, 4, 5, 9, 11, 12, 13, 14, 17, 18, 19, 20, 4, 5, 23, 24, 25, 12, 13, 14, 17, 18, 19, 20, 4, 5, 23, 24, 25, 12, 27, 33, 34, 35, 33, 34, 35, 33]",False,0.5258215962441315
0002-add-two-numbers,Recursion_prepared,"[29, 30, 3, 4, 5, 31, 3, 4, 5, 32, 8, 3, 4, 5, 9, 11, 12, 13, 14, 17, 18, 19, 20, 3, 4, 5, 23, 24, 25, 12, 13, 14, 17, 18, 19, 20, 3, 4, 5, 23, 24, 25, 12, 27, 33, 34, 35, 33, 34, 35, 33]","[30, 4, 5, 31, 4, 5, 32, 8, 4, 5, 9, 11, 12, 13, 14, 17, 18, 19, 20, 4, 5, 23, 24, 25, 12, 13, 14, 17, 18, 19, 20, 4, 5, 23, 24, 25, 12, 27, 33, 34, 35, 33, 34, 35, 33]",False,0.903954802259887
0010-regular-expression-matching,Recursion_prepared,"[19, 20, 21, 3, 4, 6, 7, 8, 10, 14, 7, 8, 10, 11, 12, 6, 7, 8, 10, 14, 7, 8, 10, 11, 12, 13, 6, 7, 8, 10, 14, 7, 8, 10, 11, 12, 13, 17]","[20, 21, 3, 4, 6, 7, 8, 10, 14, 7, 8, 10, 11, 12, 7, 6, 7, 8, 10, 14, 7, 8, 10, 11, 12, 13, 7, 6, 7, 8, 10, 14, 7, 8, 10, 11, 12, 13, 7, 6, 17]",False,0.9422382671480144
0010-regular-expression-matching,Recursion_prepared,"[19, 20, 21, 3, 4, 6, 7, 8, 10, 11, 12, 13, 7, 8, 10, 11, 12, 13, 6, 7, 8, 10, 11, 12, 13, 7, 8, 10, 11, 12, 13, 6, 7, 8, 10, 11, 12, 13, 7, 8, 10, 11, 12, 13, 17]","[20, 21, 3, 4, 6, 7, 8, 10, 14, 7, 8, 10, 11, 12, 7, 6, 7, 8, 10, 14, 7, 8, 10, 11, 12, 13, 7, 6, 7, 8, 10, 14, 7, 8, 10, 11, 12, 13, 7, 6, 17]",False,0.43934426229508194
0010-regular-expression-matching,Recursion_prepared,"[19, 20, 21, 3, 4, 6, 7, 8, 10, 11, 12, 13, 7, 8, 10, 11, 12, 13, 7, 8, 10, 11, 12, 13, 7, 8, 10, 11, 12, 13, 6, 7, 8, 10, 11, 12, 13, 7, 8, 10, 11, 12, 13, 7, 8, 10, 11, 12, 13, 7, 8, 10, 11, 12, 13, 6, 7, 8, 10, 11, 12, 13, 7, 8, 10, 11, 12, 13, 7, 8, 10, 11, 12, 13, 7, 8, 10, 11, 12, 13, 6, 7, 8, 10, 11, 12, 13, 7, 8, 10, 11, 12, 13, 7, 8, 10, 11, 12, 13, 7, 8, 10, 11, 12, 13, 6, 7, 8, 10, 11, 12, 13, 7, 8, 10, 11, 12, 13, 7, 8, 10, 11, 12, 13, 7, 8, 10, 11, 12, 13, 6, 7, 8, 10, 11, 12, 13, 7, 8, 10, 11, 12, 13, 7, 8, 10, 11, 12, 13, 7, 8, 10, 11, 12, 13, 6, 7, 8, 10, 11, 12, 13, 7, 8, 10, 11, 12, 13, 7, 8, 10, 11, 12, 13, 7, 8, 10, 11, 12, 13, 6, 7, 8, 10, 11, 12, 13, 7, 8, 10, 11, 12, 13, 7, 8, 10, 11, 12, 13, 7, 8, 10, 11, 12, 13, 6, 7, 8, 10, 11, 12, 13, 7, 8, 10, 11, 12, 13, 7, 8, 10, 11, 12, 13, 7, 8, 10, 11, 12, 13, 6, 7, 8, 10, 11, 12, 13, 7, 8, 10, 11, 12, 13, 7, 8, 10, 11, 12, 13, 7, 8, 10, 11, 12, 13, 17]","[20, 21, 3, 4, 6, 7, 8, 10, 14, 7, 8, 10, 14, 7, 8, 10, 11, 12, 7, 8, 10, 14, 7, 8, 10, 11, 12, 7, 6, 7, 8, 10, 14, 15, 7, 8, 10, 14, 7, 8, 10, 11, 12, 7, 8, 10, 14, 7, 8, 10, 11, 12, 7, 6, 7, 8, 10, 14, 7, 8, 10, 14, 7, 8, 10, 11, 12, 13, 7, 8, 10, 14, 7, 8, 10, 11, 12, 7, 6, 7, 8, 10, 14, 7, 8, 10, 14, 7, 8, 10, 11, 12, 13, 7, 8, 10, 14, 7, 8, 10, 11, 12, 7, 6, 17]",False,0.13307692307692306
0010-regular-expression-matching,Recursion_prepared,[0],"[20, 21, 3, 4, 6, 7, 8, 10, 14, 7, 8, 10, 14, 7, 8, 10, 11, 12, 7, 8, 10, 14, 7, 8, 10, 11, 12, 7, 8, 10, 14, 7, 8, 10, 14, 7, 8, 10, 11, 12, 7, 8, 10, 14, 7, 8, 10, 14, 7, 6, 7, 8, 10, 14, 15, 7, 8, 10, 14, 7, 8, 10, 11, 12, 7, 8, 10, 14, 7, 8, 10, 11, 12, 7, 8, 10, 14, 15, 7, 8, 10, 14, 7, 8, 10, 11, 12, 7, 8, 10, 14, 15, 7, 8, 10, 14, 7, 6, 7, 8, 10, 14, 15, 7, 8, 10, 14, 7, 8, 10, 11, 12, 13, 7, 8, 10, 14, 7, 8, 10, 11, 12, 7, 8, 10, 14, 7, 8, 10, 14, 7, 8, 10, 11, 12, 7, 8, 10, 14, 7, 8, 10, 14, 7, 6, 7, 8, 10, 14, 15, 7, 8, 10, 14, 7, 8, 10, 11, 12, 13, 7, 8, 10, 14, 7, 8, 10, 11, 12, 7, 8, 10, 14, 7, 8, 10, 14, 7, 8, 10, 11, 12, 7, 8, 10, 14, 7, 8, 10, 14, 7, 6, 7, 8, 10, 14, 15, 7, 8, 10, 14, 7, 8, 10, 11, 12, 7, 8, 10, 14, 7, 8, 10, 11, 12, 7, 8, 10, 14, 15, 7, 8, 10, 14, 7, 8, 10, 11, 12, 7, 8, 10, 14, 15, 7, 8, 10, 14, 7, 6, 7, 8, 10, 14, 15, 7, 8, 10, 14, 7, 8, 10, 11, 12, 7, 8, 10, 14, 7, 8, 10, 11, 12, 13, 7, 8, 10, 14, 7, 8, 10, 14, 7, 8, 10, 11, 12, 13, 7, 8, 10, 14, 7, 8, 10, 14, 7, 6, 7, 8, 10, 14, 15, 7, 8, 10, 14, 7, 8, 10, 11, 12, 7, 8, 10, 14, 7, 8, 10, 11, 12, 13, 7, 8, 10, 14, 7, 8, 10, 14, 7, 8, 10, 11, 12, 13, 7, 8, 10, 14, 7, 8, 10, 14, 7, 6, 7, 8, 10, 14, 15, 7, 8, 10, 14, 7, 8, 10, 11, 12, 7, 8, 10, 14, 7, 8, 10, 11, 12, 7, 8, 10, 14, 15, 7, 8, 10, 14, 7, 8, 10, 11, 12, 7, 8, 10, 14, 15, 7, 8, 10, 14, 7, 6, 7, 8, 10, 14, 15, 7, 8, 10, 14, 7, 8, 10, 11, 12, 7, 8, 10, 14, 7, 8, 10, 11, 12, 13, 7, 8, 10, 14, 7, 8, 10, 14, 7, 8, 10, 11, 12, 13, 7, 8, 10, 14, 7, 8, 10, 14, 7, 6, 7, 8, 10, 14, 15, 7, 8, 10, 14, 7, 8, 10, 11, 12, 7, 8, 10, 14, 7, 8, 10, 11, 12, 13, 7, 8, 10, 14, 7, 8, 10, 14, 7, 8, 10, 11, 12, 13, 7, 8, 10, 14, 7, 8, 10, 14, 7, 6, 7, 8, 10, 14, 15, 7, 8, 10, 14, 7, 8, 10, 11, 12, 7, 8, 10, 14, 7, 8, 10, 11, 12, 7, 8, 10, 14, 15, 7, 8, 10, 14, 7, 8, 10, 11, 12, 7, 8, 10, 14, 15, 7, 8, 10, 14, 7, 6, 7, 8, 10, 14, 15, 7, 8, 10, 14, 7, 8, 10, 11, 12, 7, 8, 10, 14, 7, 8, 10, 11, 12, 7, 8, 10, 14, 7, 8, 10, 14, 7, 8, 10, 11, 12, 7, 8, 10, 14, 7, 8, 10, 14, 15, 7, 6, 17]",False,0.0024521824423737125
0010-regular-expression-matching,Recursion_prepared,[0],"[20, 21, 3, 4, 6, 7, 8, 10, 14, 7, 8, 10, 11, 12, 7, 6, 7, 8, 10, 14, 7, 8, 10, 11, 12, 13, 7, 6, 7, 8, 10, 14, 7, 8, 10, 11, 12, 7, 6, 7, 8, 10, 14, 7, 8, 10, 11, 12, 7, 6, 7, 8, 10, 14, 7, 8, 10, 11, 12, 7, 6, 17]",False,0.02304147465437788
