HumanEval_ID,Name,FunctionCall,Predicted,Actual,Matched,Distance
HumanEval/0,has_close_elements,"[1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.3",[],"[14, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 19]",False,0.0
HumanEval/0,has_close_elements,"[1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.05",[],"[14, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 14, 21]",False,0.0
HumanEval/0,has_close_elements,"[1.0, 2.0, 5.9, 4.0, 5.0], 0.95","[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]","[14, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 19]",False,0.3333333333333333
HumanEval/0,has_close_elements,"[1.0, 2.0, 5.9, 4.0, 5.0], 0.8",[],"[14, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 14, 21]",False,0.0
HumanEval/0,has_close_elements,"[1.0, 2.0, 3.0, 4.0, 5.0, 2.0], 0.1","[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]","[14, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 19]",False,0.39325842696629215
HumanEval/0,has_close_elements,"[1.1, 2.2, 3.1, 4.1, 5.1], 1.0","[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]","[14, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 19]",False,0.5172413793103449
HumanEval/0,has_close_elements,"[1.1, 2.2, 3.1, 4.1, 5.1], 0.5","[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]","[14, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 14, 21]",False,0.20910973084886128
HumanEval/1,separate_paren_groups,"('( ) (( )) (( )( ))',)","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","[14, 15, 16, 18, 19, 20, 21, 18, 19, 22, 18, 19, 22, 23, 24, 26, 27, 28, 18, 19, 22, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 22, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 27, 28, 18, 19, 22, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 22, 18, 19, 22, 23, 24, 26, 18, 19, 20, 21, 18, 19, 22, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 27, 28, 18, 30]",False,0.1781115879828326
HumanEval/1,separate_paren_groups,"('(()(())((())))',)",[],"[14, 15, 16, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 22, 23, 24, 26, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 27, 28, 18, 30]",False,0.0
HumanEval/1,separate_paren_groups,"('() (()) ((())) (((())))',)",[],"[14, 15, 16, 18, 19, 20, 21, 18, 19, 22, 23, 24, 26, 27, 28, 18, 19, 22, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 27, 28, 18, 19, 22, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 27, 28, 18, 19, 22, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 27, 28, 18, 30]",False,0.0
